id,government_id,diagnosed_date,age,gender,detected_city,detected_district,detected_state,nationality,current_status,status_change_date,notes
23,US-30937,29/11/2023,40,F,Richardsonmouth,East Ronnieport,Arkansas,USA,Recovered,21/03/2023,N/A
24,US-835451,24/12/2022,39,F,Mirandabury,Port Phillip,South Carolina,USA,Recovered,23/10/2023,N/A
25,US-794277,11/07/2023,70,F,South Andrew,East Markside,Montana,USA,Recovered,02/01/2023,N/A
26,US-522991,24/11/2023,,F,Lake Linda,East Shannon,West Virginia,USA,Recovered,21/03/2023,N/A
27,US-275084,05/07/2023,,M,Domingueztown,Port Garrett,Colorado,USA,Hospitalized,11/09/2023,N/A
28,US-112350,13/04/2023,19,M,South Douglasmouth,Phillipsshire,California,USA,Hospitalized,14/07/2023,N/A
29,US-153766,25/02/2023,71,,South Miguel,South Daniel,Utah,USA,Hospitalized,20/11/2023,N/A
30,US-640383,09/09/2023,,F,Hernandezfurt,North Heidi,Florida,USA,Recovered,19/12/2022,N/A
31,US-87044,26/08/2023,90,,North Ryan,Leeburgh,Indiana,USA,Recovered,18/04/2023,N/A
32,US-264182,22/05/2023,,M,New Mary,Annfort,Wyoming,USA,Hospitalized,18/06/2023,N/A
33,US-888144,07/03/2023,62,,South Victoria,Benjaminport,Indiana,USA,Hospitalized,04/01/2023,N/A
34,US-590952,25/07/2023,87,M,Lisafurt,Moorefort,Virginia,USA,Deceased,10/12/2023,N/A
35,US-59157,02/02/2023,,M,North Bryan,Kristinmouth,Oklahoma,USA,Hospitalized,27/02/2023,N/A
36,US-29801,21/06/2023,,F,South Amanda,North Mallory,Missouri,USA,Deceased,13/06/2023,N/A
37,US-936649,10/12/2023,71,M,Raymondhaven,Newmanside,Oklahoma,USA,Recovered,22/02/2023,N/A
38,US-910109,19/04/2023,36,M,West Judy,Gilbertton,Iowa,USA,Recovered,31/05/2023,N/A
39,US-683970,10/12/2023,79,F,Fosterton,Port Christopher,Ohio,USA,Deceased,27/12/2022,N/A
40,US-50707,06/10/2023,,M,New Brendamouth,Turnerhaven,Iowa,USA,Deceased,24/09/2023,N/A
41,US-817657,07/04/2023,82,M,Lisaburgh,Reginamouth,North Carolina,USA,Recovered,28/11/2023,N/A
42,US-9202,17/07/2023,,F,West Cynthia,Howardburgh,New Mexico,USA,Deceased,13/05/2023,N/A
43,US-127082,29/11/2023,,F,Jessicabury,Port Brianton,New Jersey,USA,Deceased,25/07/2023,N/A
44,US-597043,22/02/2023,,F,Jonesborough,Garciaview,New Jersey,USA,Deceased,10/02/2023,N/A
45,US-6415,18/10/2023,8,M,Carolynstad,Susanside,Oklahoma,USA,Hospitalized,16/08/2023,N/A
46,US-568900,14/05/2023,58,M,Bradleyfurt,Port Andrew,Arizona,USA,Deceased,13/12/2022,N/A
47,US-345995,02/07/2023,53,F,Lake Samuelberg,Emilyside,Utah,USA,Recovered,07/04/2023,N/A
48,US-142131,07/07/2023,23,M,Lake Brittanyborough,Keithberg,Mississippi,USA,Recovered,08/07/2023,N/A
49,US-976725,22/12/2022,81,F,Charlesberg,Frenchton,New Hampshire,USA,Recovered,31/01/2023,N/A
50,US-9325,18/01/2023,74,M,Port Jeremy,New Marieside,New Mexico,USA,Recovered,27/04/2023,N/A
51,US-858500,26/05/2023,70,F,West Kelly,Grantberg,Utah,USA,Recovered,14/02/2023,N/A
52,US-853925,23/10/2023,33,F,Donnafort,Jennyville,Louisiana,USA,Hospitalized,12/07/2023,N/A
53,US-886911,28/02/2023,99,F,Christopherside,Dianeside,Texas,USA,Hospitalized,13/02/2023,N/A
54,US-896575,27/08/2023,,M,North Joel,Arellanotown,Arkansas,USA,Recovered,22/10/2023,N/A
55,US-313683,26/11/2023,41,M,Lake Wanda,Danielville,Hawaii,USA,Recovered,04/04/2023,N/A
56,US-436838,25/08/2023,18,,West Jenniferbury,Samuelfort,Ohio,USA,Hospitalized,12/11/2023,N/A
57,US-9538,17/05/2023,,M,Hensleymouth,Mollyville,Illinois,USA,Recovered,03/04/2023,N/A
58,US-701692,26/06/2023,,F,East Kimberlystad,Jamesland,Virginia,USA,Hospitalized,04/12/2023,N/A
59,US-85233,04/04/2023,,F,Port Fernando,East Michelleland,Washington,USA,Hospitalized,24/09/2023,N/A
60,US-9204,21/11/2023,,M,North Nicholas,Jessicahaven,South Carolina,USA,Deceased,15/03/2023,N/A
61,US-87276,16/12/2022,51,,East Robert,West Sheriport,Delaware,USA,Deceased,02/02/2023,N/A
62,US-277908,04/03/2023,,M,Tracyview,West Jonathan,Maine,USA,Deceased,16/04/2023,N/A
63,US-838923,14/12/2022,58,M,Hoganside,Kaitlynhaven,Tennessee,USA,Hospitalized,23/12/2022,N/A
64,US-410043,01/09/2023,17,F,Jasminemouth,Dawsonbury,Wisconsin,USA,Hospitalized,31/01/2023,N/A
65,US-864531,02/04/2023,92,F,New John,Williamborough,Iowa,USA,Recovered,21/10/2023,N/A
66,US-551385,24/07/2023,,F,Andersonport,Port Saraland,Illinois,USA,Hospitalized,04/07/2023,N/A
67,US-460843,20/08/2023,90,F,South Sarah,Williamport,Tennessee,USA,Hospitalized,21/11/2023,N/A
68,US-35174,18/07/2023,25,F,Alyssaport,South Adammouth,Montana,USA,Hospitalized,27/12/2022,N/A
69,US-66277,30/06/2023,79,F,New Mariafurt,Lake Heather,Utah,USA,Hospitalized,12/03/2023,N/A
70,US-237249,26/11/2023,,F,Port Jacob,East Christinaburgh,New York,USA,Deceased,06/06/2023,N/A
71,US-319888,29/08/2023,62,F,Mccoyshire,Zacharyfurt,Georgia,USA,Recovered,21/06/2023,N/A
72,US-910358,19/06/2023,58,,Port Dennisburgh,Brookemouth,South Dakota,USA,Deceased,11/03/2023,N/A
73,US-455502,30/04/2023,11,F,South Hayleyview,Williamsbury,Tennessee,USA,Deceased,20/02/2023,N/A
74,US-432670,04/09/2023,22,F,New Kellyborough,Hollyburgh,Arkansas,USA,Deceased,09/12/2023,N/A
75,US-997464,25/10/2023,31,F,Alexanderville,North Barry,Virginia,USA,Deceased,06/12/2023,N/A
76,US-313296,20/04/2023,98,M,North Michael,East Christina,Kentucky,USA,Hospitalized,25/08/2023,N/A
77,US-520931,06/02/2023,78,F,East David,North James,Washington,USA,Deceased,02/12/2023,N/A
78,US-452284,08/07/2023,36,M,West Julianport,Meganhaven,Louisiana,USA,Deceased,01/12/2023,N/A
79,US-501604,22/06/2023,67,M,Barbaraburgh,Davidbury,North Carolina,USA,Deceased,19/08/2023,N/A
80,US-23741,17/07/2023,,M,Garciaton,Morganborough,Kansas,USA,Deceased,27/04/2023,N/A
81,US-232553,25/12/2022,21,F,North Rodneyton,New Russell,Wyoming,USA,Deceased,06/03/2023,N/A
82,US-748892,12/09/2023,31,F,South Taylorland,East Jessica,Louisiana,USA,Deceased,09/11/2023,N/A
83,US-815353,28/09/2023,10,F,Johnsonview,North Robertberg,Georgia,USA,Hospitalized,24/09/2023,N/A
84,US-277287,20/07/2023,69,F,Lewishaven,Port Regina,Montana,USA,Deceased,14/07/2023,N/A
85,US-874206,26/10/2023,34,F,East Judith,North Kathrynhaven,Florida,USA,Recovered,19/02/2023,N/A
86,US-182100,08/10/2023,90,M,Richardville,Cainshire,New Jersey,USA,Hospitalized,05/12/2023,N/A
87,US-165199,07/03/2023,,M,Cartermouth,East Brandonview,Arizona,USA,Hospitalized,11/05/2023,N/A
88,US-829393,11/07/2023,98,F,North Joshua,West Tanyastad,Hawaii,USA,Recovered,15/09/2023,N/A
89,US-193369,06/09/2023,88,M,South Michael,Turnerburgh,Iowa,USA,Deceased,10/08/2023,N/A
90,US-274617,15/04/2023,48,F,North Frederick,Blairbury,Iowa,USA,Deceased,03/05/2023,N/A
91,US-449481,26/12/2022,58,M,New Robert,Rachelchester,Hawaii,USA,Deceased,10/05/2023,N/A
92,US-314512,04/01/2023,26,F,Jeffreyview,Ericksonview,North Carolina,USA,Hospitalized,05/09/2023,N/A
93,US-303269,10/02/2023,83,M,Harryton,East Sergioport,North Carolina,USA,Recovered,10/07/2023,N/A
94,US-767679,09/04/2023,71,M,South Toddland,Lake Calebmouth,Wyoming,USA,Deceased,15/12/2022,N/A
95,US-585548,23/12/2022,50,F,Moorestad,North Edwardberg,Arizona,USA,Deceased,15/05/2023,N/A
96,US-747586,26/09/2023,45,F,New Christopherstad,New Jeff,Connecticut,USA,Deceased,02/08/2023,N/A
97,US-567520,20/06/2023,,F,Lake Jonton,Wendybury,Nevada,USA,Recovered,02/06/2023,N/A
98,US-378346,04/12/2023,66,F,Adamsstad,Georgeview,Montana,USA,Recovered,20/03/2023,N/A
99,US-47366,22/05/2023,,F,Paulstad,East Krystalburgh,Arizona,USA,Deceased,27/09/2023,N/A
100,US-396830,09/01/2023,66,M,Deborahbury,Jeffland,Hawaii,USA,Hospitalized,28/06/2023,N/A
101,US-914160,25/07/2023,40,F,Johnsonburgh,Garzaview,Colorado,USA,Hospitalized,12/06/2023,N/A
102,US-382666,16/10/2023,67,F,South Victoria,East Robert,California,USA,Deceased,02/07/2023,N/A
103,US-133387,28/09/2023,,F,West Anthonyberg,Sawyerberg,New Jersey,USA,Recovered,25/08/2023,N/A
104,US-632236,02/05/2023,,M,Elizabethland,New Lorishire,Michigan,USA,Recovered,22/05/2023,N/A
105,US-107567,10/04/2023,87,M,Lake Joseph,Butlerhaven,Minnesota,USA,Deceased,25/05/2023,N/A
106,US-115698,11/02/2023,5,M,Rowebury,Melissashire,Delaware,USA,Deceased,08/01/2023,N/A
107,US-330180,13/03/2023,17,F,New Travis,New Kaitlin,Vermont,USA,Recovered,14/12/2022,N/A
108,US-827020,27/02/2023,9,M,Hollowayfurt,East Jay,Maryland,USA,Deceased,01/05/2023,N/A
109,US-35217,18/07/2023,17,,Ryantown,Williamsside,Mississippi,USA,Recovered,25/09/2023,N/A
110,US-4826,16/02/2023,,F,Hoffmanville,East Benjamintown,Vermont,USA,Deceased,25/11/2023,N/A
111,US-660911,01/02/2023,,M,North Leslie,North Bethbury,Arizona,USA,Recovered,26/11/2023,N/A
112,US-740019,14/01/2023,49,F,West Nathanview,Justinburgh,South Carolina,USA,Recovered,13/07/2023,N/A
113,US-947592,05/10/2023,84,F,Port Paul,East Julia,New Jersey,USA,Deceased,25/09/2023,N/A
114,US-909693,24/12/2022,,M,Lake Christinaside,Moyerfurt,Illinois,USA,Deceased,22/05/2023,N/A
115,US-828225,01/03/2023,95,M,Campbellshire,New Scottville,Colorado,USA,Hospitalized,13/08/2023,N/A
116,US-904401,26/07/2023,88,M,Jamieport,Leslieborough,Florida,USA,Hospitalized,03/02/2023,N/A
117,US-591379,11/02/2023,95,F,Hernandezmouth,Jennifershire,North Dakota,USA,Deceased,20/02/2023,N/A
118,US-776069,27/08/2023,19,M,Lozanoberg,Raymondfort,Utah,USA,Hospitalized,12/05/2023,N/A
119,US-601429,05/06/2023,97,F,Robertberg,Martinshire,Missouri,USA,Deceased,10/03/2023,N/A
120,US-217268,18/06/2023,,M,West Amber,Deniseview,New Mexico,USA,Hospitalized,07/08/2023,N/A
121,US-835225,03/03/2023,93,,Mitchellland,Taylorhaven,New Hampshire,USA,Hospitalized,18/04/2023,N/A
122,US-449138,17/07/2023,,M,Michaelfort,New Davemouth,Delaware,USA,Recovered,25/12/2022,N/A
123,US-326012,29/11/2023,79,F,South Robert,Port Kariland,Minnesota,USA,Recovered,02/03/2023,N/A
124,US-560687,09/05/2023,,F,Martinezborough,Courtneyside,Rhode Island,USA,Hospitalized,16/08/2023,N/A
125,US-669720,06/10/2023,59,M,Smithfurt,New Laura,Idaho,USA,Hospitalized,19/11/2023,N/A
126,US-54282,18/07/2023,95,F,Lake Jamesside,Schmidtfurt,Massachusetts,USA,Hospitalized,18/07/2023,N/A
127,US-292411,06/07/2023,95,M,Marktown,Lauratown,South Dakota,USA,Hospitalized,16/11/2023,N/A
128,US-429672,19/11/2023,20,M,Johnsonport,West Kellifurt,Minnesota,USA,Hospitalized,09/08/2023,N/A
129,US-616124,08/01/2023,96,,West Mitchellfurt,New Rodney,Ohio,USA,Deceased,25/01/2023,N/A
130,US-567638,05/09/2023,,M,South Benjamin,Wallsland,South Carolina,USA,Hospitalized,24/09/2023,N/A
131,US-847050,13/01/2023,60,M,Calvinburgh,South Jessicaville,Indiana,USA,Hospitalized,13/02/2023,N/A
132,US-650650,19/11/2023,19,,South Larry,Yolandaport,Alaska,USA,Recovered,05/11/2023,N/A
133,US-250938,27/10/2023,97,,Michaelstad,New Clairetown,Alaska,USA,Deceased,23/11/2023,N/A
134,US-41958,08/01/2023,59,F,Sandrafort,Davidborough,Illinois,USA,Deceased,13/03/2023,N/A
135,US-188137,06/10/2023,56,F,Lauraborough,West Tiffanymouth,North Dakota,USA,Deceased,14/07/2023,N/A
136,US-902349,15/10/2023,13,F,Rachelton,Thomasstad,North Dakota,USA,Hospitalized,04/04/2023,N/A
137,US-978408,28/07/2023,77,F,Merritttown,Robinsonstad,Maryland,USA,Recovered,08/04/2023,N/A
138,US-863308,24/12/2022,9,,Jacquelinefort,Daltonburgh,Arkansas,USA,Recovered,27/05/2023,N/A
139,US-49395,23/04/2023,27,M,Nicholaston,Steventon,Delaware,USA,Deceased,07/07/2023,N/A
140,US-568536,13/02/2023,22,F,Caitlynbury,Jesusview,Texas,USA,Recovered,09/04/2023,N/A
141,US-634704,27/04/2023,49,F,New Shawn,Velezchester,Nevada,USA,Recovered,01/03/2023,N/A
142,US-24899,26/07/2023,99,,Port Kellyhaven,Lake Rhonda,Michigan,USA,Deceased,05/05/2023,N/A
143,US-969687,10/12/2022,,F,North Rachelfort,Zacharymouth,Ohio,USA,Recovered,08/02/2023,N/A
144,US-221864,04/08/2023,66,M,Russellstad,Port Andreaport,Arizona,USA,Recovered,05/12/2023,N/A
145,US-594032,24/01/2023,5,M,Kathleenburgh,Cartermouth,West Virginia,USA,Recovered,08/08/2023,N/A
146,US-927831,12/09/2023,,F,Shelbyshire,East Codychester,New Jersey,USA,Hospitalized,26/10/2023,N/A
147,US-577247,20/10/2023,32,M,Port Johnborough,New Tara,Washington,USA,Deceased,12/05/2023,N/A
148,US-864032,07/07/2023,,M,New Alison,Markview,Kansas,USA,Hospitalized,25/06/2023,N/A
149,US-887496,27/03/2023,29,,Christopherburgh,Lake Lisaburgh,Arizona,USA,Deceased,23/07/2023,N/A
150,US-245213,02/12/2023,30,M,Spearsborough,West Michelleville,Utah,USA,Recovered,13/02/2023,N/A
151,US-767651,07/10/2023,,,Banksbury,Andersenfurt,Nevada,USA,Hospitalized,03/08/2023,N/A
152,US-79948,14/03/2023,57,M,Amandahaven,West Heather,Arkansas,USA,Deceased,24/07/2023,N/A
153,US-440688,21/10/2023,48,M,Rosefort,Johnsonside,Texas,USA,Deceased,07/12/2023,N/A
154,US-302959,26/02/2023,99,M,New Ericburgh,Cruzmouth,California,USA,Recovered,08/05/2023,N/A
155,US-942823,12/01/2023,75,F,Kevinmouth,West Stanleymouth,Wisconsin,USA,Hospitalized,31/03/2023,N/A
156,US-234450,12/06/2023,22,,Port Kendraland,Adrianaburgh,Delaware,USA,Recovered,26/11/2023,N/A
157,US-594557,26/09/2023,43,F,Zavalafort,South Keith,Colorado,USA,Hospitalized,24/06/2023,N/A
158,US-7709,21/06/2023,96,F,Mcclainfort,Arnoldchester,Maine,USA,Hospitalized,27/08/2023,N/A
159,US-456588,07/11/2023,90,,East Jasonborough,Sarahbury,Nevada,USA,Deceased,26/12/2022,N/A
160,US-150489,08/05/2023,15,M,New Jerry,Port Adrian,California,USA,Recovered,29/01/2023,N/A
161,US-935712,04/09/2023,,M,North Sherry,North Jeffrey,Florida,USA,Deceased,15/04/2023,N/A
162,US-538774,05/05/2023,81,F,Fisherton,South Priscillaport,Indiana,USA,Hospitalized,01/11/2023,N/A
163,US-102061,04/04/2023,50,M,Clarkport,South Jesus,Colorado,USA,Deceased,28/04/2023,N/A
164,US-931730,03/02/2023,29,F,Lake Jennifershire,Westfurt,Minnesota,USA,Hospitalized,14/02/2023,N/A
165,US-791958,24/04/2023,16,F,Port Edward,Mosleyborough,Alabama,USA,Hospitalized,05/10/2023,N/A
166,US-848178,31/10/2023,88,,New Lauren,South Tracyhaven,West Virginia,USA,Deceased,17/11/2023,N/A
167,US-957368,21/07/2023,95,M,Wangchester,Lake Michael,Delaware,USA,Hospitalized,28/12/2022,N/A
168,US-696744,31/07/2023,,F,Charlesfurt,Port Shannonview,Indiana,USA,Recovered,19/06/2023,N/A
169,US-561251,19/08/2023,29,F,Port Ronald,Kristinside,Tennessee,USA,Deceased,04/06/2023,N/A
170,US-908512,05/05/2023,8,M,South Lucas,Meganmouth,Louisiana,USA,Recovered,31/03/2023,N/A
171,US-3331,19/06/2023,81,M,Brianside,Hendersonville,Maine,USA,Hospitalized,30/06/2023,N/A
172,US-278093,06/02/2023,10,M,New Duanetown,North Charlesland,Colorado,USA,Recovered,12/03/2023,N/A
173,US-24348,12/03/2023,,F,Thorntonstad,Jenniferton,Delaware,USA,Deceased,23/03/2023,N/A
174,US-813721,07/05/2023,69,M,North Garyborough,New Martin,Hawaii,USA,Deceased,24/04/2023,N/A
175,US-538111,06/11/2023,,M,North Matthew,North Adam,South Dakota,USA,Deceased,05/11/2023,N/A
176,US-679423,27/04/2023,,,Nicholasbury,Robertston,Arkansas,USA,Deceased,01/04/2023,N/A
177,US-353037,13/02/2023,2,M,West Sue,Fryemouth,California,USA,Deceased,05/07/2023,N/A
178,US-101448,16/01/2023,69,M,Matthewbury,Bakerhaven,New Hampshire,USA,Recovered,02/12/2023,N/A
179,US-492050,27/01/2023,28,,New Roger,Martinezchester,Delaware,USA,Hospitalized,24/12/2022,N/A
180,US-358306,08/08/2023,59,F,Johnsonmouth,Parkerton,Connecticut,USA,Recovered,30/12/2022,N/A
181,US-381104,11/04/2023,94,M,Lindahaven,South Jessicamouth,New Mexico,USA,Recovered,14/10/2023,N/A
182,US-960724,09/01/2023,83,M,Lake Derrick,Johnsonbury,Ohio,USA,Recovered,19/09/2023,N/A
183,US-374127,25/07/2023,10,F,Zacharyport,North Sabrinaview,Tennessee,USA,Hospitalized,18/11/2023,N/A
184,US-66986,10/12/2022,54,M,Gillfort,Jenniferville,Vermont,USA,Hospitalized,13/09/2023,N/A
185,US-618659,09/09/2023,,F,Tylermouth,Allenbury,Louisiana,USA,Deceased,28/09/2023,N/A
186,US-759671,17/05/2023,97,F,Clarkfort,Shelbytown,Hawaii,USA,Deceased,26/03/2023,N/A
187,US-492291,21/12/2022,13,F,South Brandy,Port Morganshire,New Jersey,USA,Recovered,19/02/2023,N/A
188,US-454729,17/10/2023,2,M,Port Anna,Port Gregory,South Carolina,USA,Deceased,28/09/2023,N/A
189,US-291448,14/10/2023,,F,Kellyburgh,South Jonathan,Virginia,USA,Deceased,18/01/2023,N/A
190,US-543339,22/08/2023,50,,Petermouth,Port Juliefurt,Pennsylvania,USA,Hospitalized,27/03/2023,N/A
191,US-392494,24/10/2023,,M,North Christopher,South Melissachester,Nevada,USA,Recovered,12/08/2023,N/A
192,US-987125,19/03/2023,,M,West Brianfurt,Stephanieport,Rhode Island,USA,Deceased,18/10/2023,N/A
193,US-984147,22/04/2023,,F,Lucasburgh,Marshallmouth,Nebraska,USA,Deceased,06/06/2023,N/A
194,US-480811,21/05/2023,,M,Lake Anthony,West Stevenfurt,Mississippi,USA,Recovered,27/09/2023,N/A
195,US-875185,17/11/2023,72,,Garciabury,Barnettmouth,New Mexico,USA,Recovered,25/08/2023,N/A
196,US-167352,20/02/2023,28,F,Johnside,East Eric,Washington,USA,Recovered,09/07/2023,N/A
197,US-189474,10/11/2023,45,M,New Michael,Angelaport,Arizona,USA,Recovered,25/12/2022,N/A
198,US-502060,15/02/2023,45,F,Reginatown,West Susanton,Virginia,USA,Deceased,17/08/2023,N/A
199,US-161428,14/05/2023,36,F,Nathanland,Leslieberg,Georgia,USA,Hospitalized,15/05/2023,N/A
200,US-347916,25/09/2023,40,F,South Williamport,Davidsonshire,Tennessee,USA,Hospitalized,30/07/2023,N/A
201,US-374336,12/01/2023,85,F,East Stephanie,New Denise,Wisconsin,USA,Hospitalized,29/09/2023,N/A
202,US-687534,14/06/2023,82,F,South Bryan,New Danielleberg,Missouri,USA,Deceased,16/08/2023,N/A
203,US-597605,18/09/2023,,F,West Keith,Barbaraview,Pennsylvania,USA,Hospitalized,31/01/2023,N/A
204,US-65514,24/12/2022,,F,New Danielleport,North Ryanside,Colorado,USA,Deceased,23/02/2023,N/A
205,US-24644,17/06/2023,31,F,New Cherylhaven,Port Suzannetown,South Carolina,USA,Recovered,20/08/2023,N/A
206,US-537316,02/04/2023,23,M,Lake Jennifermouth,Port Timothytown,Illinois,USA,Hospitalized,17/02/2023,N/A
207,US-32766,22/10/2023,30,M,Kaitlinfort,Shanebury,Washington,USA,Recovered,21/05/2023,N/A
208,US-62075,01/09/2023,10,F,Davidborough,Gilbertbury,Iowa,USA,Deceased,11/04/2023,N/A
209,US-878757,24/12/2022,,,Guzmanton,Johnsonchester,Indiana,USA,Hospitalized,23/03/2023,N/A
210,US-785262,17/09/2023,35,F,New Kayla,Lake Lisafort,Texas,USA,Recovered,09/01/2023,N/A
211,US-451941,31/03/2023,79,F,Toddside,South Jessica,Maryland,USA,Deceased,23/05/2023,N/A
212,US-644013,08/07/2023,,M,West Kristyborough,South Melinda,New Hampshire,USA,Deceased,16/12/2022,N/A
213,US-801899,17/09/2023,,M,South Regina,Lake Caitlin,South Dakota,USA,Recovered,07/01/2023,N/A
214,US-767854,21/02/2023,81,F,Kaylafurt,New Annamouth,Maryland,USA,Deceased,17/07/2023,N/A
215,US-562445,11/08/2023,50,M,West Rebecca,Port Brett,North Dakota,USA,Deceased,04/10/2023,N/A
216,US-306082,27/03/2023,96,F,North Rachaelshire,West Anthonyshire,Connecticut,USA,Recovered,02/07/2023,N/A
217,US-420512,26/04/2023,27,M,Williamsside,East Kevinfurt,Massachusetts,USA,Hospitalized,24/09/2023,N/A
218,US-949699,19/01/2023,83,M,North Beverly,Watsontown,Delaware,USA,Hospitalized,28/08/2023,N/A
219,US-415273,29/12/2022,3,F,Lake Oscarbury,Kimberlyburgh,New Mexico,USA,Recovered,30/11/2023,N/A
220,US-79355,08/08/2023,58,,Lake Robert,New John,North Carolina,USA,Recovered,14/09/2023,N/A
221,US-963081,20/03/2023,,M,Morganmouth,New Janicemouth,California,USA,Recovered,23/12/2022,N/A
222,US-604913,26/12/2022,,M,East Rachel,New John,Oklahoma,USA,Hospitalized,15/07/2023,N/A
223,US-875099,20/09/2023,91,F,East John,East Coleland,Virginia,USA,Recovered,21/07/2023,N/A
224,US-506828,27/05/2023,45,F,Port Jenniferbury,New Stephanie,Rhode Island,USA,Recovered,13/04/2023,N/A
225,US-920117,03/07/2023,24,F,West Kathrynfort,Howardborough,Tennessee,USA,Deceased,28/02/2023,N/A
226,US-234949,18/11/2023,,F,Knightview,Lake Nicholasburgh,Montana,USA,Recovered,05/02/2023,N/A
227,US-103361,17/12/2022,6,F,New Abigail,Bentleyfurt,North Carolina,USA,Hospitalized,07/09/2023,N/A
228,US-144649,21/06/2023,,F,West Meganstad,Robertshire,Rhode Island,USA,Recovered,24/03/2023,N/A
229,US-654011,30/06/2023,12,M,Amystad,East Jamestown,Indiana,USA,Recovered,27/07/2023,N/A
230,US-676453,19/01/2023,79,,Port Angie,North Jonathanstad,New Mexico,USA,Recovered,14/04/2023,N/A
231,US-85015,22/07/2023,,F,Lewisbury,Port Samanthabury,Minnesota,USA,Deceased,28/05/2023,N/A
232,US-880094,04/12/2023,2,M,Lake Erika,Hayesburgh,South Carolina,USA,Deceased,18/07/2023,N/A
233,US-126982,25/03/2023,,,Gardnerberg,Colemanville,Maine,USA,Deceased,24/01/2023,N/A
234,US-671156,31/12/2022,89,M,North Jordan,Avilaborough,Indiana,USA,Recovered,17/12/2022,N/A
235,US-683374,03/09/2023,,F,Robertsonfurt,Cassandraside,Wisconsin,USA,Recovered,03/05/2023,N/A
236,US-276076,26/02/2023,,M,Gavinburgh,Hansonmouth,Wyoming,USA,Hospitalized,11/01/2023,N/A
237,US-195007,19/05/2023,,F,North Cynthia,Walkermouth,Illinois,USA,Recovered,15/11/2023,N/A
238,US-836510,01/10/2023,79,F,New Suzanne,Harperchester,California,USA,Recovered,01/10/2023,N/A
239,US-41200,28/04/2023,42,F,Riverahaven,Port Stephenmouth,Rhode Island,USA,Hospitalized,01/05/2023,N/A
240,US-590841,08/12/2023,79,F,East Jacob,Blackstad,Wisconsin,USA,Hospitalized,02/07/2023,N/A
241,US-500961,12/10/2023,29,F,Bakertown,Stacyville,Connecticut,USA,Recovered,05/05/2023,N/A
242,US-349760,25/11/2023,92,F,Port Miguelview,Royfurt,Vermont,USA,Recovered,04/09/2023,N/A
243,US-784659,27/03/2023,91,F,Lake Amy,Joshuaview,Montana,USA,Recovered,25/12/2022,N/A
244,US-275141,19/05/2023,19,,Amytown,Russellville,Maryland,USA,Hospitalized,09/12/2023,N/A
245,US-123666,29/05/2023,,M,West Yvonneland,Williamsonshire,South Dakota,USA,Deceased,21/02/2023,N/A
246,US-916081,16/02/2023,26,F,West Alexander,South Anthonyhaven,Colorado,USA,Recovered,28/11/2023,N/A
